name,rating,popularity,cluster,performance
El Kiosco Mexican Restaurant,4.2,300,0,Medium
Taste of Balingup,3.2,21,0,Medium
Bridge Road Brewers,4.6,237,0,Medium
Bardenay,4.5,879,0,Medium
Flatbread Neapolitan Pizzeria,4.6,615,0,Medium
Goldy's Breakfast Bistro,4.5,879,0,Medium
Chandlers Steakhouse,3.9,379,0,Medium
Bar Gernika Basque Pub & Eatery,4.3,303,0,Medium
Barbacoa Restaurant,4.1,538,0,Medium
Big Jud's,4.2,334,0,Medium
Bittercreek Ale House,4.3,555,0,Medium
Boise Fry Company,4.4,823,0,Medium
Flying Pie Pizzaria,4.1,550,0,Medium
Fork,4.4,650,0,Medium
Guido's Original New York Style Pizza,4.3,410,0,Medium
Los Beto's,4.4,660,0,Medium
Lucianos Italian Restaurant,4.4,360,0,Medium
Mai Thai Restaurant,4.0,340,0,Medium
Shige Japanese Cuisine,4.1,393,0,Medium
The Egg Factory,4.3,422,0,Medium
Tucanos,4.0,435,0,Medium
Texas Roadhouse,4.0,369,0,Medium
Brick 29,4.4,487,0,Medium
Winifreds,3.7,98,0,Medium
Biaggi's Ristorante Italiano,4.1,365,0,Medium
El Super Burrito,4.1,190,0,Medium
Granite City Food & Brewery,4.1,429,0,Medium
Irish Democrat,4.4,430,0,Medium
Taste of India,4.2,186,0,Medium
Thai Moon Restaurant,4.2,220,0,Medium
Ting's Red Lantern,4.2,347,0,Medium
Monica's,3.8,161,0,Medium
Exotic India,4.1,160,0,Medium
Shorts Burger and Shine,4.9,820,0,Medium
The Hamburg Inn No. 2 Inc.,4.5,488,0,Medium
Bluebird Diner,3.6,253,0,Medium
Graze,3.8,220,0,Medium
A & A Pagliai's Pizza,4.3,485,0,Medium
Atlas World Grill,4.3,428,0,Medium
BlackStone,4.1,294,0,Medium
Devotay,4.0,380,0,Medium
Jimmy Jack's Rib Shack,4.2,259,0,Medium
Zoeys Pizzeria,4.7,433,0,Medium
Tokyo Sushi,3.7,176,0,Medium
Berry Patch Restaurant,4.3,96,0,Medium
Sakura Sushi & Grill,3.1,6,0,Medium
Uptown Vietnam cuisine,3.3,33,0,Medium
Cafe Le Rue @ The Landings,4.6,489,0,Medium
Mark's City Grille,4.5,345,0,Medium
B Merrell's,3.8,149,0,Medium
Cannon Brewpub,3.9,330,0,Medium
Fuji Japanese Steak House,3.9,247,0,Medium
Ruth Ann's Family Restaurant,3.7,123,0,Medium
Samurai Japanese Cuisine & Sushi Bar,3.6,109,0,Medium
Wasabi Sushi and Thai,3.7,134,0,Medium
Buckhead Bar and Grill,4.2,722,0,Medium
Burt's Butcher Shoppe and Eatery,4.3,213,0,Medium
Chef Lee's Peking Restaurant,4.0,335,0,Medium
Country's Barbecue,4.0,353,0,Medium
Deorio's,4.0,170,0,Medium
Mellow Mushroom,4.1,192,0,Medium
Meritage,4.1,302,0,Medium
Mongo The Mongolian Fire Pit,4.2,355,0,Medium
The Black Cow,4.3,287,0,Medium
Wood Stone,4.0,264,0,Medium
Hunter's Pub,4.4,235,0,Medium
Consort Restaurant,3.0,6,0,Medium
Thatcher's Barbeque and Grill,3.7,38,0,Medium
Christian and Jake's Bistro,4.4,122,0,Medium
Dub's High on the Hog,4.4,207,0,Medium
Sierra's Mexican Restaurant,3.9,66,0,Medium
Oakwood Cafe,4.9,249,0,Medium
Chili's Grill & Bar,3.8,63,0,Medium
Fuji Japanese Steakhouse,3.8,145,0,Medium
Las Palmas,3.8,83,0,Medium
Tony's Italian Restaurant & Pizza,3.7,116,0,Medium
Filling Station,4.1,122,0,Medium
Five Guys Burgers and Fries,4.1,142,0,Medium
Los Pablos,4.1,114,0,Medium
Kobe Hibachi & Sushi,4.6,214,0,Medium
Soho Hibachi,4.3,116,0,Medium
Thai Garden,4.2,111,0,Medium
Southern Bliss Bakery,3.7,25,0,Medium
Bailey's Bar-B-Que,4.1,128,0,Medium
Farm To Fork,4.3,244,0,Medium
Home Plate Grill,4.2,112,0,Medium
Pie Slingers Pizzeria,4.1,144,0,Medium
Olive Tree Cafe,4.6,166,0,Medium
"Red Ginger Sushi, Grill & Bar",4.5,208,0,Medium
Crust Stone Oven Pizza,3.9,136,0,Medium
Jimmy's Pancake House,4.0,85,0,Medium
Trattoria Tiramisu,4.1,117,0,Medium
Prairie Grille at SteepleGate Inn,3.4,53,0,Medium
Tantra Asian Bistro,4.9,474,0,Medium
Chick-fil-A,3.9,125,0,Medium
Duck City Bistro,3.7,201,0,Medium
Frick's Tap,0.0,2,1,Low
Los Agaves,0.0,3,1,Low
Azteca,4.3,167,0,Medium
China Cafe,4.0,112,0,Medium
Exotic Thai Restaurant,4.1,256,0,Medium
Front Street Brewery,4.3,123,0,Medium
Granite City Food & Brewery,4.0,199,0,Medium
Los Agaves,4.1,157,0,Medium
Machine Shed Restaurant,4.1,100,0,Medium
Osaka,4.2,141,0,Medium
Texas Roadhouse,4.2,197,0,Medium
Hickory Park,4.5,1025,0,Medium
The Cafe,4.9,570,0,Medium
Flying Mango,4.5,674,0,Medium
Cool Basil,4.1,496,0,Medium
HuHot Mongolian Grill,4.0,411,0,Medium
Malo,3.2,113,0,Medium
Centro,4.5,1109,2,High
Fong's Pizza,4.6,728,0,Medium
A Dong Restaurant,4.4,659,0,Medium
Court Avenue Brewing Company,4.2,370,0,Medium
Django,4.3,532,0,Medium
Miyabi 9,4.8,860,0,Medium
Zombie Burger + Drink Lab,4.2,943,0,Medium
Tursi's Latin King,4.1,476,0,Medium
Tsing Tsao South,4.1,218,0,Medium
Bandit Burrito,4.0,214,0,Medium
Jethro's BBQ,4.3,699,0,Medium
The Machine Shed Restaurant,3.8,308,0,Medium
Mi Patria,4.0,157,0,Medium
Waterfront Seafood Market,4.2,530,0,Medium
The Giggling Goat,3.6,29,0,Medium
Burnt Toast Cafe,3.4,33,0,Medium
Catfish Charlie's,3.3,40,0,Medium
Salsa's Mexican Restaurant,3.4,153,0,Medium
Tony Roma's,3.3,65,0,Medium
Vinny Vanucchi's,3.4,58,0,Medium
Champps Americana,3.5,100,0,Medium
Fiesta Cancun,3.6,156,0,Medium
Happy Joe's Pizza & Ice Cream,3.5,74,0,Medium
Houlihan's,3.6,117,0,Medium
Ichiban Hibachi Steakhouse & Sushi Bar,3.7,83,0,Medium
Kalmes Breaktime Bar & Grill,3.6,48,0,Medium
L. May Eatery,3.8,198,0,Medium
Los Aztecas,3.5,126,0,Medium
Manna Java World Cafe,3.5,119,0,Medium
Mario's Italian Restaurant,3.6,140,0,Medium
Pepper Sprout Incorporated,3.6,159,0,Medium
Shot Tower Inn,3.6,131,0,Medium
Sunshine Family Restaurant,3.5,60,0,Medium
Watershed Cafe,3.7,89,0,Medium
Woodfire Grille,3.6,72,0,Medium
The Belle General,4.1,56,0,Medium
Jehova es Mi Pastor Tacos y Burritos,3.7,83,0,Medium
Flaxton Gardens,3.5,37,0,Medium
Bespoke Harvest,3.7,29,0,Medium
Houndstooth Grill & Tavern,4.4,239,0,Medium
Hawg Wild BBQ & Catfish House,4.1,235,0,Medium
Bourbon Street Grille,3.8,88,0,Medium
Corkscrew Cafe,3.9,209,0,Medium
Smokin Gold BBQ,3.9,133,0,Medium
Hoka-Hoka Japanese Steak & Sushi,4.4,267,0,Medium
Shenanigan's Irish Pub,4.1,171,0,Medium
Fish Tales Lakeside Grille,3.8,107,0,Medium
Antebellum,4.3,164,0,Medium
Moonie's Texas Barbecue,4.1,182,0,Medium
Atlanta Highway Seafood Market,4.9,681,0,Medium
Eat at Thai,4.6,357,0,Medium
Smoke House BBQ and Catering,3.8,89,0,Medium
2 Dog,4.2,350,0,Medium
Longstreet Cafe,4.3,298,0,Medium
Re-Cess,4.2,319,0,Medium
Bodensee,3.8,114,0,Medium
Hofer's Bakery & Cafe,3.9,136,0,Medium
Troll Tavern,2.2,108,0,Medium
The Nacoochee Village Tavern & Pizzeria,4.0,161,0,Medium
Blue Bean Love Cafe,3.8,192,0,Medium
La Trattoria of Lavandula,3.8,93,0,Medium
5 Little Pigs,4.1,40,0,Medium
Beach Box Cafe,3.7,100,0,Medium
Funkey Monkey,3.8,97,0,Medium
Burger Queen Drive In,3.6,41,0,Medium
Blue Orchid Thai Restaurant,4.5,799,0,Medium
Stillwater on Belmore,3.6,18,0,Medium
Mr.,3.5,31,0,Medium
Emilio's Cuban Cafe,3.9,146,0,Medium
